Name,FIPS,"% Educational Attainment | Bachelor's degree or higher, 2021 [Estimated]","Population Density (per square mile), 2021 [Estimated]","% Household Size | 1-person household, 2021 [Estimated]","% Household Size | 2-person household, 2021 [Estimated]","% Household Size | 3-person household, 2021 [Estimated]","% Household Size | 4-person household, 2021 [Estimated]","% Household Size | 5-person household, 2021 [Estimated]","% Household Size | 6-person household, 2021 [Estimated]","# Gini Index Of Income Inequality [B19083] | Gini Index, 2019","% Hispanic or Latino | Hispanic or Latino, 2021 [Estimated]"
"Custer County, NE",31041,23.5952,4.2138,30.3394,34.5865,16.1756,10.6279,3.2311,2.8856,0.4923,3.7685
"Custer County, OK",40039,23.6142,29.6072,30.6675,30.2269,14.429,16.1448,4.4534,1.1626,0.4678,20.1981
"Custer County, SD",46033,23.1238,5.6784,17.2051,61.1821,4.7834,11.2948,3.2807,1.3273,0.44,4.1511
"Cuyahoga County, OH",39035,32.6642,2715.792,37.6942,31.6623,13.5209,9.6452,4.2227,1.6507,0.5113,6.6005
"Dade County, GA",13083,14.8453,92.2579,23.3458,36.4656,21.1835,13.2499,3.4466,1.4957,0.4437,2.735
"Dade County, MO",29057,12.1134,15.4262,22.4909,48.3935,8.5128,6.0616,8.1484,3.0142,0.442,2.54
"Daggett County, UT",49009,9.009,0.7245,8.5366,54.878,0,0,15.8537,3.6585,0.3299,2.9703
"Dakota County, MN",27037,42.4564,760.7416,24.2452,34.867,16.2189,14.5211,6.2824,2.0951,0.4122,7.7962
"Dakota County, NE",31043,13.2936,75.1156,17.6047,31.8885,15.2174,19.3118,7.1752,5.2681,0.3964,39.7411
"Dale County, AL",1045,18.4477,87.0931,27.4017,35.6493,17.1992,9.2928,6.2764,2.4694,0.4479,7.199
"Dallam County, TX",48111,16.8637,4.971,17.086,41.5584,12.1347,14.7727,3.6526,4.0179,0.4676,47.5107
"Dallas County, AL",1047,15.5517,38.5599,30.3248,33.9073,15.0237,10.9303,6.2882,1.7471,0.4691,1.7064
"Dallas County, AR",5039,12.9153,10.4692,38.7806,31.301,11.4498,7.7278,6.9479,1.6306,0.4249,2.4617
"Dallas County, IA",19049,52.2843,158.2864,25.9343,31.3929,13.7564,18.0682,6.8835,2.4552,0.4255,6.3926
"Dallas County, MO",29059,13.3293,30.622,27.0986,38.9024,7.5337,12.5507,5.7802,3.4746,0.4724,3.0124
"Dallas County, TX",48113,31.4003,3067.0638,28.7244,28.6867,15.5658,13.2926,7.6874,3.2272,0.4982,40.8346
"Dane County, WI",55025,51.9302,458.9015,30.038,36.1864,14.2493,12.0278,4.6081,1.6182,0.4424,6.6952
"Daniels County, MT",30019,22.7166,1.2111,34.5154,26.5957,25.6501,5.6738,3.0733,3.6643,0.4373,4.1112
"Danville city, VA",51590,18.128,944.3818,36.3456,33.2784,14.3745,8.4433,4.491,1.1763,0.4832,5.1859
"Dare County, NC",37055,36.1099,96.0105,27.7492,41.8185,13.8997,10.23,4.3044,1.1625,0.4317,8.2323
"Darke County, OH",39037,17.0328,85.4154,23.8777,39.1012,13.037,11.5857,6.9998,3.154,0.4106,1.9731
"Darlington County, SC",45031,18.2473,118.8047,32.0602,33.5608,13.8527,11.2284,4.2606,2.9447,0.4765,2.3543
"Dauphin County, PA",42043,31.2756,529.5557,31.2189,34.0039,14.3671,11.6715,4.911,1.7734,0.4511,10.2602
"Davidson County, NC",37057,18.1353,300.0348,24.5725,37.5645,16.5448,12.425,5.4508,1.8055,0.4342,7.9971
"Davidson County, TN",47037,41.9471,1400.3303,32.2626,33.9676,15.5047,9.5479,5.136,1.9006,0.4826,10.9128
"Davie County, NC",37059,22.4224,161.6378,23.8719,38.3066,18.2314,11.5963,3.4813,1.8195,0.4395,8.0121
"Daviess County, IN",18027,13.1822,77.9374,25.4428,28.413,13.3924,13.5802,9.4561,4.16,0.4224,6.0823
"Daviess County, KY",21059,24.1033,221.7298,27.4707,33.8285,16.3711,13.5457,4.7862,2.3155,0.4697,3.8942
"Daviess County, MO",29061,19.4065,14.7688,25.1497,42.3154,8.7159,11.344,4.6906,2.6613,0.4299,1.6709
"Davis County, IA",19051,21.0564,17.9594,24.6883,33.2294,14.3703,10.9102,4.0212,2.4938,0.4315,1.7297
"Davis County, UT",49011,38.6034,1194.5643,14.8791,29.5169,15.9789,16.5418,10.8893,7.2033,0.3806,10.2493
"Davison County, SD",46035,24.521,45.738,33.883,35.8067,13.7982,8.6454,4.5574,1.1107,0.4654,3.9247
"Dawes County, NE",31045,38.2566,6.1898,31.4979,34.7789,17.0899,11.9829,0.9986,1.5977,0.3671,6.7908
"Dawson County, GA",13085,30.8748,120.1927,25.6021,33.6402,18.463,12.587,5.6727,2.9434,0.4338,4.9724
"Dawson County, MT",30021,22.904,3.7484,36.1881,36.3151,9.8094,7.6747,6.9377,0.6353,0.4262,3.7791
"Dawson County, NE",31047,16.2874,23.2694,21.4081,34.6943,12.9662,13.4849,8.7067,3.8733,0.411,33.6854
"Dawson County, TX",48115,14.4694,13.7975,27.2203,31.7878,18.1546,9.9885,3.8062,5.3749,0.4971,59.7166
"Day County, SD",46037,23.3481,5.2562,31.317,37.634,12.4426,10.4518,5.9342,1.3017,0.478,2.5527
"De Baca County, NM",35011,11.9705,0.8919,47.8207,21.0461,7.5965,14.944,5.4795,2.3661,0.4282,53.5714
"De Soto Parish, LA",22031,15.908,31.3352,28.7702,29.8708,18.8739,12.2339,8.0044,1.1916,0.5028,3.0805
"De Witt County, IL",17039,22.3568,39.4782,31.4077,35.6491,14.2749,9.3189,5.7312,2.2347,0.4206,3.071
"DeKalb County, AL",1049,14.2329,91.933,26.1928,33.6229,12.9878,14.3472,8.52,2.2583,0.4723,15.4533
"DeKalb County, GA",13089,43.9815,2868.0585,33.4755,30.306,15.9011,11.2949,4.8299,2.0848,0.4894,8.6054
"DeKalb County, IL",17037,32.3007,165.1765,26.4671,33.6735,16.4564,13.7543,6.0731,1.9229,0.4361,11.8371
"DeKalb County, IN",18033,18.6409,118.7517,27.1671,36.4928,15.4939,10.7577,4.8536,2.195,0.4258,3.551
"DeKalb County, MO",29063,16.146,29.3504,30.6229,36.539,13.6304,9.252,4.196,3.0753,0.3919,2.2964
"DeKalb County, TN",47041,16.6303,66.4521,24.6855,42.3839,12.0065,12.2805,5.6794,0.8843,0.4749,10.2279
"DeSoto County, FL",12027,12.6418,59.4886,25.9658,35.9857,12.8714,10.912,7.3517,3.1939,0.4404,32.4612
"DeSoto County, MS",28033,25.6104,386.2546,22.0999,32.0145,19.2584,14.3793,7.6893,2.1503,0.4054,5.3371
"DeWitt County, TX",48123,10.929,22.2668,22.6612,35.036,11.5987,12.9956,10.5969,4.1626,0.5146,37.2875
"Deaf Smith County, TX",48117,10.471,12.3662,24.3991,29.1735,19.4106,11.5245,5.3671,4.9555,0.3949,75.5105
"Dearborn County, IN",18029,24.1106,161.8392,21.5076,36.5137,16.4218,15.5564,5.027,2.3612,0.4032,1.7073
"Decatur County, GA",13087,13.5178,44.061,25.828,34.7562,14.246,11.0265,9.9877,3.0446,0.479,7.5251
"Decatur County, IA",19053,26.8122,14.7307,29.7005,40.4446,8.2124,9.0151,8.3668,1.4819,0.4422,3.0632
"Decatur County, IN",18031,22.5325,71.8715,27.6665,32.8893,15.678,11.6531,6.5069,2.8941,0.385,2.5582
"Decatur County, KS",20039,19.5202,3.1863,38.7741,38.1543,1.2397,15.8402,3.9256,0.4821,0.4228,4.1447
"Decatur County, TN",47039,15.0492,34.9828,27.8279,45.2947,9.2443,9.2681,5.8935,0.8793,0.4923,0.8733
"Deer Lodge County, MT",30023,20.1049,12.2577,41.8294,30.9866,16.0843,6.0123,3.0319,0.5139,0.4451,4.1085
"Defiance County, OH",39039,17.8023,92.0914,23.2086,39.0791,14.4241,12.3872,7.2253,1.9307,0.4036,10.7941
"Del Norte County, CA",6015,14.8142,27.0704,31.1508,32.6496,15.6493,9.506,5.1178,3.2541,0.4743,20.0962
"Delaware County, IA",19055,17.7235,29.4453,27.027,38.9858,11.5083,10.8544,7.2653,2.1215,0.4305,2.087
"Delaware County, IN",18035,23.9029,290.4457,31.3246,34.5355,14.9134,11.1459,4.8784,1.9066,0.4811,3.1427
"Delaware County, NY",36025,23.1154,30.5389,32.1597,40.2672,9.9687,9.1468,4.4806,2.1634,0.4412,4.3723
"Delaware County, OH",39041,54.8708,471.3561,18.9655,33.5092,17.8014,18.5775,7.3249,2.5989,0.425,2.8757
"Delaware County, OK",40041,18.6087,58.1874,27.999,42.1449,11.208,8.6702,6.1922,1.7436,0.4632,4.2171
"Delaware County, PA",42045,39.464,3079.7406,27.8177,30.7077,16.5306,14.5281,6.4421,2.0609,0.4837,4.3573
"Delta County, CO",8029,21.7509,26.8298,30.7449,41.1725,7.6286,10.0435,6.1524,2.6623,0.4805,16.3757
"Delta County, MI",26041,22.0133,30.4653,29.2436,40.9975,12.4778,8.4044,5.5273,1.9447,0.4362,1.6929
"Delta County, TX",48119,25.6757,20.3752,28.5507,38.5361,11.4881,8.8221,6.5439,3.8778,0.4372,8.8668
"Denali Borough, AK",2068,46.0845,0.1887,45.2668,31.8417,14.8021,1.8933,4.3029,0,0.3486,0
"Dent County, MO",29065,15.9245,20.5616,33.6422,33.2928,11.9836,8.5966,6.5917,2.5972,0.4537,2.1644
"Denton County, TX",48121,45.8004,1005.3397,23.2732,31.2699,17.0347,16.819,7.5702,2.5013,0.4322,19.6258
"Denver County, CO",8031,49.1768,4793.8988,37.3136,32.713,12.0102,9.9757,4.4915,1.6909,0.4909,29.6323
"Des Moines County, IA",19057,20.6294,93.6585,32.406,36.5819,12.4144,10.6809,4.3009,1.7573,0.4619,3.6306
"Deschutes County, OR",41017,35.6412,64.8071,23.3589,40.8791,16.4967,11.6005,4.9142,1.4741,0.4431,8.5778
"Desha County, AR",5041,14.2391,14.8229,26.0545,30.979,21.6009,9.6135,5.827,4.8656,0.4547,8.124
"Deuel County, NE",31049,14.7321,4.0787,26.844,37.1221,17.6542,6.7715,10.0363,0.8464,0.3795,8.2497
"Deuel County, SD",46039,23.6631,6.8921,24.4534,41.3119,8.6306,15.0748,6.1565,2.0713,0.3788,4.6132
"Dewey County, OK",40043,24.5466,4.9648,26.0595,36.4326,11.0689,17.3308,4.6173,2.0873,0.47,8.785
"Dewey County, SD",46041,17.8446,2.5902,22.4159,28.4255,14.0625,13.2212,10.0361,3.3654,0.4525,1.1905
"Dickens County, TX",48125,17.9455,2.3965,35.8722,35.9951,6.1425,9.4595,8.1081,2.7027,0.5147,32.2073
"Dickenson County, VA",51051,10.6492,43.6676,34.3104,38.3384,9.6026,11.7964,3.3627,0.8811,0.6002,1.0603
"Dickey County, ND",38021,27.9207,4.2236,30.9167,38.1197,10.3368,6.3611,7.1562,2.7128,0.4081,4.6872
"Dickinson County, IA",19059,35.426,45.1251,34.4335,38.6462,10.9698,7.8613,5.5209,1.6923,0.4371,2.6556
"Dickinson County, KS",20041,23.6838,21.8117,35.2754,34.6902,10.6602,8.1287,5.7753,2.5696,0.4398,5.0985
"Dickinson County, MI",26043,27.6677,33.0312,30.3346,42.0893,11.3454,9.2899,3.9064,0.9788,0.4356,1.9455
"Dickson County, TN",47043,16.9777,109.5595,28.0606,35.5428,16.1234,12.5634,4.5017,1.7386,0.4424,3.9387
"Dillingham Census Area, AK",2070,22.9569,0.2704,19.484,25.0509,15.4107,14.1208,9.0292,6.9925,0.4271,4.1154
"Dillon County, SC",45033,11.5996,74.8296,32.5717,28.9234,18.1852,9.3089,4.4006,3.2252,0.4974,3.2562
"Dimmit County, TX",48127,14.2747,7.8434,19.0801,36.4906,13.2198,10.017,12.2998,5.7922,0.4783,87.4316
"Dinwiddie County, VA",51053,18.7302,56.7174,29.5528,30.2854,16.9363,9.3149,9.7241,2.9591,0.4326,4.5838
"District of Columbia, DC",11001,58.1341,11737.3241,43.9538,30.2826,11.725,7.8766,3.3464,1.3831,0.5269,11.6815
"Divide County, ND",38023,16.2818,1.8796,38.6322,36.0444,14.6026,6.0998,2.403,1.5712,0.4865,5.6962
"Dixie County, FL",12029,11.3122,23.8885,24.9367,39.1628,17.5182,8.1037,3.6347,3.3517,0.4751,4.4526
"Dixon County, NE",31051,21.5017,11.8418,29.584,37.2241,9.7199,9.5501,5.6876,5.8149,0.4117,15.3955
"Doddridge County, WV",54017,17.7244,27.5301,20.6884,46.0531,18.1818,6.8088,4.7138,0.8605,0.4353,0.7612
"Dodge County, GA",13091,14.1616,41.7093,30.2944,30.8913,18.6135,11.1789,5.5623,1.2888,0.469,4.1671
"Dodge County, MN",27039,25.8078,47.5075,22.6687,35.7699,13.4073,17.1833,5.8298,3.5719,0.3864,5.5537
"Dodge County, NE",31053,18.1949,69.2147,28.9494,33.954,15.654,8.9573,7.5069,3.2014,0.4173,14.5362
"Dodge County, WI",55027,16.678,99.507,26.5767,39.6563,13.2714,12.2471,5.054,1.5323,0.3967,5.1321
"Dolores County, CO",8033,23.0662,1.7186,29.768,45.4897,8.3763,9.9227,2.9639,0,0.4306,6.8702
"Doniphan County, KS",20043,22.3905,19.3403,32.4623,37.6214,8.9112,9.2797,8.3752,1.7085,0.4324,3.3903
"Donley County, TX",48129,20.1144,3.4599,38.0443,32.3911,14.5149,8.9381,3.5141,0.382,0.4584,11.6932
"Dooly County, GA",13093,12.4065,34.3733,27.8419,39.3313,15.9878,4.3972,5.7751,4.0122,0.4815,7.2244
"Door County, WI",55029,34.8984,56.5438,24.2467,45.3905,13.5437,10.1109,3.9274,1.484,0.439,3.6951
"Dorado Municipio, PR",72051,28.54,1564.7191,23.242,37.8975,18.2244,15.2562,3.5336,0.8304,0.5472,97.7108
"Dorchester County, MD",24019,20.7592,59.1034,30.0684,36.6444,13.6206,8.5273,5.0626,4.5018,0.471,7.3027
"Dorchester County, SC",45035,29.0702,289.8272,27.47,33.3468,16.4933,12.5004,6.1913,2.441,0.428,6.0876
"Dougherty County, GA",13095,22.249,268.3331,34.3334,29.1311,15.9475,12.1078,4.5569,1.6464,0.4933,3.6888
"Douglas County, CO",8035,57.9551,416.9765,17.5692,34.8452,17.9457,17.6872,7.49,2.6765,0.3993,8.9624
"Douglas County, GA",13097,28.2358,733.9035,23.6848,30.9382,19.4715,13.5573,7.1194,2.4684,0.41,10.407
"Douglas County, IL",17041,19.0716,46.9654,28.347,36.5197,11.6979,9.6382,8.1991,2.3898,0.424,7.686
"Douglas County, KS",20045,49.1421,270.2974,29.128,36.899,15.4986,11.2628,4.8657,1.3387,0.4741,7.0492
"Douglas County, MN",27041,25.969,59.472,29.4995,39.7933,10.5899,10.9034,5.9858,1.8346,0.446,2.0597
"Douglas County, MO",29067,11.2645,16.2311,23.7831,46.5374,16.9964,4.8476,4.0958,0.2374,0.4621,1.6053
"Douglas County, NE",31055,39.8701,1753.3429,30.577,31.5034,14.2481,11.7673,6.3864,3.1121,0.4696,13.2288
"Douglas County, NV",32005,31.1264,68.3578,24.5661,46.0787,13.395,10.128,3.2338,1.1238,0.4405,13.1877
"Douglas County, OR",41019,18.2564,21.8108,27.2884,40.2829,12.8313,10.0239,4.6899,2.6464,0.4397,6.5236
"Douglas County, SD",46043,13.2132,6.7137,20.185,47.1825,8.7468,11.27,5.2986,4.9622,0.4451,0.6899
"Douglas County, WA",53017,21.0387,23.7365,21.4318,37.7383,15.2929,11.3279,7.7899,4.1754,0.4355,32.3507
"Douglas County, WI",55031,24.691,32.9803,31.7303,39.1744,13.4894,9.1257,4.1961,1.0949,0.4204,1.89
"Dona Ana County, NM",35013,26.5836,56.9559,25.6327,32.5524,16.6866,13.3327,6.0132,3.3426,0.4918,69.0589
"Drew County, AR",5043,22.3909,22.0443,28.9177,33.1746,14.6032,14.5166,5.2381,0.9668,0.4941,4.4521
"DuPage County, IL",17043,49.2826,2837.82,24.9934,32.7258,15.9516,15.1324,6.7656,2.4402,0.454,14.8218
"Dubois County, IN",18037,25.9157,99.7647,29.435,36.4178,11.3352,13.0514,6.0097,1.846,0.4219,8.5019
"Dubuque County, IA",19061,31.2688,160.3848,28.0179,37.0551,13.3039,11.45,6.0292,2.6112,0.4478,2.9376
"Duchesne County, UT",49013,14.5014,6.3131,17.5362,30.3768,14.2609,15.0145,11.7101,5.4783,0.3931,8.5435
"Dukes County, MA",25007,45.8353,169.5552,35.1549,38.5399,13.5112,6.397,5.5221,0.2008,0.499,5.2346
"Dundy County, NE",31057,24.0064,2.1279,45.4756,22.5058,11.2529,6.4965,8.8167,2.4362,0.4011,17.0158
"Dunklin County, MO",29069,14.3625,54.0992,30.8845,32.647,14.1739,13.2927,5.9381,1.466,0.5018,7.4027
"Dunn County, ND",38025,22.2187,2.2519,31.4741,32.3278,10.4155,15.0825,6.8298,1.5367,0.4743,2.4541
"Dunn County, WI",55033,28.8572,52.8665,28.3875,37.3523,10.3286,14.7316,5.614,1.8106,0.4171,2.2783
"Duplin County, NC",37061,12.0269,72.1416,27.9252,30.5644,19.1543,11.6914,5.7238,2.6674,0.4248,23.5037
"Durham County, NC",37063,47.5322,1129.8332,33.253,33.6239,15.2626,9.7632,4.8497,1.6795,0.4681,14.0957
"Dutchess County, NY",36027,35.1525,366.8578,26.5371,34.8827,16.0218,12.2346,6.3554,2.3222,0.4497,13.1464
"Duval County, FL",12031,30.5174,1257.1453,29.8529,33.7105,16.6121,11.1683,5.3802,1.8475,0.4704,10.431
"Duval County, TX",48131,8.9967,6.2002,24.8912,26.3207,20.4786,11.8397,7.4891,4.3505,0.435,88.5342
"Dyer County, TN",47045,15.2618,72.382,23.7958,40.9896,14.792,10.651,5.6438,1.9425,0.5245,4.0502
"Eagle County, CO",8037,46.3647,33.195,19.1332,41.3818,16.7457,13.7406,5.3926,1.2296,0.4694,29.4996
"Early County, GA",13099,15.837,19.8166,30.6346,27.8386,22.6599,9.2147,2.796,1.3858,0.4996,1.5357
"East Baton Rouge Parish, LA",22033,34.6679,974.0415,32.8629,32.6929,15.016,10.36,5.2867,2.1364,0.5052,4.7711
"East Carroll Parish, LA",22035,8.6858,16.4247,35.7776,32.1112,14.1928,6.3868,4.4352,4.9675,0.707,0.4197
"East Feliciana Parish, LA",22037,12.939,42.1634,25.7687,41.2884,14.0703,8.7555,3.0893,3.7189,0.4662,1.9407
"Eastland County, TX",48133,13.7329,19.6901,38.5668,37.0531,11.0467,1.723,5.7649,4.8148,0.5381,19.8816
"Eaton County, MI",26045,28.6651,191.1553,28.1118,37.5123,14.9152,9.8963,6.024,1.5166,0.4141,5.7534
"Eau Claire County, WI",55035,32.35,164.0262,31.6303,34.3871,13.2122,11.4123,5.3077,2.2408,0.4348,2.9598
"Echols County, GA",13101,9.1062,9.3861,29.6207,33.5942,16.6767,13.8471,2.8296,2.8296,0.5002,26.0517
"Ector County, TX",48135,15.644,185.2982,26.6036,27.4668,17.4297,12.8438,9.2248,3.7417,0.4516,62.6443
"Eddy County, ND",38027,27.182,3.5812,33.1126,41.7219,9.8392,6.5279,2.5544,3.0274,0.4968,0.8418
"Eddy County, NM",35015,15.1537,14.1018,24.3799,30.9746,16.9335,12.6944,9.0939,3.2627,0.4322,50.6384
"Edgar County, IL",17045,17.1592,27.4175,29.299,36.8985,17.0218,10.0389,3.8467,1.2197,0.4004,1.4745
"Edgecombe County, NC",37065,14.1348,101.6258,27.1896,30.7999,18.3749,13.3721,5.903,3.3102,0.4728,5.2468
"Edgefield County, SC",45037,16.2908,54.2291,26.5549,36.3586,12.4063,12.2739,6.2858,2.779,0.4841,6.4003
"Edmonson County, KY",21061,10.0516,40.0944,27.0995,39.8054,14.3141,7.6633,4.2089,3.653,0.424,0.3129
"Edmunds County, SD",46045,26.4807,3.4246,27.0164,43.1475,12.7213,8.9836,5.8361,1.3115,0.4311,3.0083
"Edwards County, IL",17047,15.2931,28.6017,28.1487,44.2079,7.9033,10.646,4.5471,2.9231,0.4144,1.9179
"Edwards County, KS",20047,16.8646,4.541,35.8974,32.4284,16.2896,9.7285,3.1674,1.6591,0.3881,21.1756
"Edwards County, TX",48137,16.2214,0.9557,46.049,23.9782,13.8965,8.9918,0,0.9537,0.4648,61.2154
"Effingham County, GA",13103,21.4243,131.9059,24.8944,32.7536,18.6719,14.3353,5.88,1.9081,0.4409,5.0397
"Effingham County, IL",17049,23.3595,71.0237,28.0818,34.2634,14.2663,11.1827,8.4711,2.4183,0.4544,2.4997
"El Dorado County, CA",6017,34.534,112.2508,23.2984,41.5677,13.6813,12.5035,5.3554,2.0825,0.4556,13.5733
"El Paso County, CO",8041,39.0379,338.8966,24.5191,34.572,15.5883,13.3698,7.1803,2.6961,0.4322,17.7958
"El Paso County, TX",48141,23.4785,829.3624,24.34,28.0767,17.2506,16.1497,8.0363,3.7928,0.4613,83.0111
"Elbert County, CO",8039,38.3641,14.3541,14.1152,42.4286,16.3674,12.3404,7.3482,3.0929,0.4013,7.6674
"Elbert County, GA",13105,11.7893,53.9736,29.7702,37.5221,14.5383,8.7039,4.4608,2.5568,0.4702,6.5805
"Elk County, KS",20049,13.1917,3.7873,33.0732,40.1951,11.0244,5.6585,1.2683,4.4878,0.4583,5.8607
"Elk County, PA",42047,20.6506,36.0382,31.8819,37.0829,15.2828,9.3134,4.3686,1.1313,0.403,1.033
"Elkhart County, IN",18039,19.9738,445.9834,24.4063,33.3228,14.6595,13.3879,7.8007,3.4659,0.4263,17.0527
"Elko County, NV",32007,17.0104,3.0734,25.805,32.8428,13.6605,13.6992,6.9658,4.9851,0.3806,24.5486
"Elliott County, KY",21063,9.7776,31.4102,19.2308,30.0662,26.3027,14.1026,9.0984,0.4136,0.4535,0.4755
"Ellis County, KS",20051,36.8306,31.8642,34.0635,34.0811,13.6096,9.0437,6.0086,2.2609,0.484,6.8248
"Ellis County, OK",40045,18.8869,3.2327,33.6557,38.6847,12.5725,8.833,3.2237,1.2895,0.4387,7.2092
"Ellis County, TX",48139,24.8418,194.1015,17.7098,32.133,16.7461,17.0437,8.5683,4.5259,0.4176,27.1027
"Ellsworth County, KS",20053,18.8994,8.5973,32.409,37.6083,13.7348,5.3293,6.1958,2.8596,0.3936,6.2906
"Elmore County, AL",1051,26.6424,131.6525,24.5881,36.904,14.844,14.0638,5.5585,2.8061,0.4413,3.2253
"Elmore County, ID",16039,18.581,8.7555,26.5817,35.587,15.1566,12.3026,5.3755,1.7456,0.3976,18.3554
"Emanuel County, GA",13107,14.2061,32.84,26.6071,35.9737,19.2149,10.5653,4.3013,2.1624,0.461,5.9374
"Emery County, UT",49015,17.5191,2.1955,24.0486,36.7341,10.3914,9.1498,9.7166,5.3711,0.3689,6.3387
"Emmet County, IA",19063,21.0284,23.206,33.4829,33.1588,12.4657,10.4712,6.4572,1.2964,0.4333,10.1121
"Emmet County, MI",26047,33.1472,70.7862,31.4633,38.9794,14.1737,10.5509,2.5076,0.6016,0.4656,2.0819
"Emmons County, ND",38029,18.2188,2.143,32.8653,40.1404,8.3599,6.6369,8.3599,1.404,0.4502,2.0396
"Emporia city, VA",51595,11.1478,760.8721,30.575,25.6314,22.7834,10.7469,4.1913,5.1585,0.4801,8.9282
"Erath County, TX",48143,30.575,39.4967,25.1585,38.5056,13.0415,9.2368,9.7257,2.9796,0.4938,22.8157
"Erie County, NY",36029,34.811,881.0528,33.9474,32.6421,14.2055,11.1304,4.6288,1.8065,0.4661,6.1707
"Erie County, OH",39043,24.2166,294.7298,28.9375,40.3187,12.8735,10.1018,4.6108,1.7049,0.466,5.16
"Erie County, PA",42049,28.4809,339.4446,30.3286,33.9642,14.1369,11.8313,5.3705,2.4933,0.4568,4.9208
"Escambia County, AL",1053,12.1728,38.7655,36.9136,34.2265,11.238,8.8537,4.8851,2.1125,0.4818,3.0894
"Escambia County, FL",12033,26.9549,482.0257,31.5986,39.3506,13.0532,9.1442,3.8919,1.5195,0.4448,6.4924
"Esmeralda County, NV",32009,15.817,0.2457,55.9252,22.2453,11.8503,2.9106,6.0291,0,0.3744,18.4091
"Essex County, MA",25009,39.9147,1614.7329,27.1767,31.6529,16.2732,14.9259,5.8019,2.2266,0.4816,22.487
"Essex County, NJ",34013,35.4444,6334.535,30.9737,26.1848,16.7542,14.6512,6.7153,2.4201,0.5551,24.0177
"Essex County, NY",36031,28.1941,20.4496,31.1163,38.3353,11.996,11.5984,3.8114,1.9373,0.4362,3.407
"Essex County, VA",51057,18.6488,42.4757,30.0539,33.9806,19.1586,10.0108,3.1284,2.9558,0.4236,6.1447
"Essex County, VT",50009,15.5075,9.3535,34.1736,42.5279,9.6507,8.5704,0.9363,1.5484,0.4179,1.4339
"Estill County, KY",21065,11.6167,55.7935,32.003,37.2045,13.4292,9.1924,3.2722,3.4046,0.4613,0.3045
"Etowah County, AL",1055,18.5684,191.3647,30.5831,34.8162,13.9633,12.8754,4.7061,1.8183,0.4594,4.7169
"Eureka County, NV",32011,6.4982,0.4682,15.4653,47.8375,20.3145,8.9122,1.1796,1.7038,0.4095,6.6496
"Evangeline Parish, LA",22039,11.5631,50.5857,34.6784,29.3173,17.1292,8.054,5.2458,2.2811,0.4904,4.2946
"Evans County, GA",13109,15.5172,58.1756,24.9132,33.7878,17.7243,12.3946,6.7427,2.6029,0.4574,13.0263
"Fairbanks North Star Borough, AK",2090,31.0332,13.5092,23.1718,33.8885,16.7753,14.407,6.1153,3.1144,0.4094,8.7036
"Fairfax County, VA",51059,60.297,2957.9261,22.1123,30.8276,17.8518,17.091,6.9416,2.751,0.4258,16.7662
"Fairfax city, VA",51600,59.9536,3813.9755,21.5618,30.3147,18.4266,17.0396,8.1585,2.7739,0.4053,18.3312
"Fairfield County, CT",9001,47.4809,1516.3913,24.3095,31.5829,17.3449,15.0884,7.3804,2.2477,0.5422,20.6707
"Fairfield County, OH",39045,27.9761,311.2708,23.2304,34.0001,16.5358,14.2983,7.4976,2.6212,0.4206,2.4483
"Fairfield County, SC",45039,17.8194,32.9955,33.0755,39.7102,9.696,10.0338,2.9088,2.059,0.4931,2.6098
"Fajardo Municipio, PR",72053,25.8178,980.2331,29.8387,31.6196,18.5568,12.8864,4.3263,1.1929,0.545,98.4784
"Fall River County, SD",46047,20.7119,3.8221,33.0645,41.9355,14.8522,4.9059,4.3347,0.2688,0.4036,4.5113
"Fallon County, MT",30025,19.8098,1.7228,37.3113,35.9454,8.1955,7.908,6.6858,1.5097,0.4112,2.7221
"Falls Church city, VA",51610,74.9212,7150.4662,25.4647,29.5254,19.8159,13.3369,9.7455,1.4799,0.4556,11.8909
"Falls County, TX",48145,13.2243,22.4831,29.7478,36.2884,13.3373,6.8558,4.4326,7.171,0.4705,23.7478
"Fannin County, GA",13111,23.448,67.6741,26.1048,45.7359,11.2034,8.4368,5.9989,1.8627,0.4539,2.9851
"Fannin County, TX",48147,17.4386,39.2115,27.8346,32.9122,15.8164,10.7308,7.2525,3.1665,0.4559,12.6678
"Faribault County, MN",27043,18.7312,19.0462,34.9009,37.5546,11.0514,7.3228,4.4844,2.2674,0.4295,7.3176
"Faulk County, SD",46049,29.8048,2.3266,37.6457,33.2168,10.2564,9.4406,7.1096,0.9324,0.3875,0.3065
"Faulkner County, AR",5045,30.85,193.9034,28.5003,33.9986,16.2637,11.7344,5.056,2.8514,0.4674,4.4579
"Fauquier County, VA",51061,37.1392,109.2505,21.4076,34.5781,16.0798,14.6272,6.5993,4.5632,0.4107,9.0275
"Fayette County, AL",1057,11.9845,25.9398,25.4815,36.4741,14.3556,14.8889,5.6593,1.7185,0.461,2.555
"Fayette County, GA",13113,47.0538,586.9696,19.6138,35.0974,18.174,15.5893,7.1546,2.5429,0.4369,7.6086
"Fayette County, IA",19065,19.0815,26.4863,28.4877,39.621,12.3551,8.9515,5.6726,2.4436,0.4506,3.1307
"Fayette County, IL",17051,10.5253,29.743,25.8998,36.1995,17.6809,9.5537,6.74,1.6228,0.4373,2.2338
