Name,FIPS,"% Educational Attainment | Bachelor's degree or higher, 2021 [Estimated]","Population Density (per square mile), 2021 [Estimated]","% Household Size | 1-person household, 2021 [Estimated]","% Household Size | 2-person household, 2021 [Estimated]","% Household Size | 3-person household, 2021 [Estimated]","% Household Size | 4-person household, 2021 [Estimated]","% Household Size | 5-person household, 2021 [Estimated]","% Household Size | 6-person household, 2021 [Estimated]","# Gini Index Of Income Inequality [B19083] | Gini Index, 2019","% Hispanic or Latino | Hispanic or Latino, 2021 [Estimated]"
"Allegany County, MD",24001,19.3239,166.7693,30.9568,37.1103,13.7359,10.5218,5.0104,1.3064,0.439,2.075
"Allegany County, NY",36003,20.505,44.7006,29.8728,35.9532,13.709,9.7005,6.0579,2.0662,0.44,1.8886
"Alleghany County, NC",37005,17.373,47.1764,28.7935,42.0859,13.2311,9.2229,3.7219,1.7382,0.4494,11.2759
"Alleghany County, VA",51005,14.8803,32.7004,33.1758,31.9256,14.987,11.1602,4.4062,1.174,0.4595,1.8147
"Allegheny County, PA",42003,42.3696,1669.1089,36.4716,33.6594,13.6344,9.7489,3.8325,1.3586,0.4852,2.5307
"Allen County, IN",18003,28.7357,573.5545,28.8101,33.8069,13.8736,11.9354,6.6148,2.7609,0.4458,7.9921
"Allen County, KS",20001,20.8939,24.4774,32.2936,33.4516,17.1461,8.9653,4.9309,2.1292,0.4205,3.8298
"Allen County, KY",21003,16.6655,61.7092,22.7489,38.0297,19.3061,9.5339,5.1907,2.1716,0.4468,2.8754
"Allen County, OH",39003,19.1635,253.7641,29.6444,34.9913,14.3965,10.8164,6.6964,1.8134,0.4328,3.6949
"Allen Parish, LA",22003,12.4542,33.6461,26.4447,33.9967,14.0707,11.6086,5.2813,3.2019,0.4525,7.6506
"Allendale County, SC",45005,8.5565,21.1032,36.3199,36.6807,9.0198,9.11,3.7282,3.9687,0.5028,3.6112
"Alpena County, MI",26007,18.691,49.3244,33.3307,37.9729,14.8329,8.3307,3.3733,0.8512,0.439,1.6663
"Alpine County, CA",6003,31.8066,1.4248,28.4314,50.6536,1.3072,8.4967,5.5556,1.634,0.493,12.5475
"Amador County, CA",6005,19.0027,65.5901,27.2396,39.9175,10.0241,14.3004,4.0701,2.4338,0.449,14.4366
"Amelia County, VA",51007,17.0144,36.5854,27.5573,36.5902,16.1715,8.7737,7.0788,3.33,0.4392,4.1381
"Amherst County, VA",51009,19.6054,66.6278,26.807,37.425,16.0622,12.2326,2.4009,2.7137,0.4197,2.7677
"Amite County, MS",28005,13.3125,16.6621,27.9732,35.7935,13.3078,16.6348,4.2639,1.0325,0.513,0
"Anchorage Municipality, AK",2020,36.4915,170.7962,25.8423,32.381,16.5935,12.3407,6.9001,2.8888,0.4298,10.0612
"Anderson County, KS",20003,19.4623,13.4651,28.5424,36.3544,13.9669,7.8458,6.4931,4.9036,0.4384,2.7546
"Anderson County, KY",21005,21.1556,112.3383,27.2288,35.937,15.0236,10.2381,7.2817,2.7033,0.4075,2.3513
"Anderson County, SC",45007,22.9002,281.8857,28.085,34.4086,14.6356,12.8805,6.2686,1.8423,0.457,4.6316
"Anderson County, TN",47001,22.4119,226.1751,25.4791,37.7718,16.4102,11.27,6.0735,1.1518,0.4651,3.3199
"Anderson County, TX",48001,10.6225,54.3688,26.2095,35.8676,15.3995,11.6345,7.0147,2.1765,0.4299,19.4413
"Andrew County, MO",29003,24.6898,40.5657,25.95,35.9456,15.3039,8.5761,8.9162,3.8001,0.4115,2.9801
"Andrews County, TX",48003,11.334,12.4833,20.4652,25.8024,17.8327,14.9838,13.3249,2.7227,0.4237,57.9321
"Androscoggin County, ME",23001,23.6493,229.9829,28.8848,36.2577,15.6741,11.4365,4.5398,1.622,0.4267,2.3165
"Angelina County, TX",48005,17.3911,109.3597,23.7176,30.9318,15.3663,13.8631,10.2399,3.6424,0.4369,23.1781
"Anne Arundel County, MD",24003,42.2432,1397.5087,24.1239,33.2563,16.9877,14.3707,6.4988,2.4534,0.4133,8.6127
"Anoka County, MN",27003,31.0832,844.0918,22.5134,35.1007,15.198,14.8857,7.427,2.6108,0.3908,5.3207
"Anson County, NC",37007,11.3514,45.787,33.3752,33.5429,12.7947,11.7259,5.1137,2.3997,0.4428,5.9053
"Antelope County, NE",31003,18.8241,7.3149,32.4314,38.6814,9.4893,10.061,5.4116,1.8674,0.4039,3.5726
"Antrim County, MI",26009,30.1275,48.6378,24.2427,46.1809,9.5602,9.7514,5.9173,2.7171,0.4561,2.8916
"Apache County, AZ",4001,12.599,6.3406,31.5337,30.8281,12.1252,8.8618,6.8935,4.0479,0.5013,6.7647
"Appanoose County, IA",19007,15.5289,24.8265,38.2999,35.4601,10.3181,7.4593,5.32,0.7005,0.4919,2.3165
"Appling County, GA",13001,9.9256,36.3465,23.1589,36.6859,15.3987,15.9769,6.1929,0.9586,0.4586,11.0913
"Appomattox County, VA",51011,22.2555,47.7472,22.1431,39.9482,13.1758,15.4257,4.4675,1.8453,0.4331,2.0303
"Aransas County, TX",48007,22.3221,98.2467,33.6332,41.6345,9.8436,5.2913,3.2348,3.3526,0.5348,28.4474
"Arapahoe County, CO",8005,42.9752,831.369,26.2984,32.8459,15.7982,13.803,6.6033,2.5711,0.4522,19.7587
"Archer County, TX",48009,25.0684,9.6658,28.036,36.3742,13.742,13.713,4.9971,1.4526,0.4654,9.1513
"Archuleta County, CO",8007,38.6918,10.1779,26.1862,49.647,10.3431,6.9283,3.1194,2.6104,0.4511,18.5285
"Arecibo Municipio, PR",72013,23.0357,650.4675,29.6645,31.9108,18.2777,13.218,5.2466,0.754,0.506,98.8769
"Arenac County, MI",26011,12.3581,41.0184,31.6704,42.3608,9.9035,9.2205,4.1722,1.0542,0.4168,2.3092
"Arkansas County, AR",5001,17.0058,17.7041,30.4096,37.8065,14.3492,9.9165,3.1258,2.4117,0.4807,3.9701
"Arlington County, VA",51013,73.4701,9188.1425,38.4903,32.3925,12.3952,11.2208,3.2753,1.1735,0.4409,16.0369
"Armstrong County, PA",42005,17.1632,99.0874,27.604,35.7493,15.4761,12.7694,4.9773,1.6651,0.4181,0.9487
"Armstrong County, TX",48011,23.2006,2.156,14.7826,42.8986,24.9275,3.913,7.971,2.8986,0.3981,3.9286
"Aroostook County, ME",23003,19.7863,9.9915,33.3494,37.4823,11.8748,9.586,4.0261,1.7028,0.4627,1.5603
"Arroyo Municipio, PR",72015,14.3127,1146.4858,25.0437,39.1396,17.0164,9.304,6.7681,0.822,0.4681,99.7268
"Arthur County, NE",31005,22.2628,0.5676,44.8276,29.5567,5.4187,8.867,3.9409,2.9557,0.4787,0.7389
"Ascension Parish, LA",22005,26.5682,439.2185,22.0829,35.3438,15.729,14.7279,8.6517,1.7559,0.4231,6.4725
"Ashe County, NC",37009,19.333,62.6577,29.3407,41.4696,14.662,7.2052,5.4018,0.8052,0.4441,5.5343
"Ashland County, OH",39005,21.211,126.9619,28.0214,36.0884,16.134,10.5594,4.4596,2.4231,0.4143,1.7877
"Ashland County, WI",55003,18.1766,14.7534,29.4814,42.5323,12.5058,6.214,4.2984,2.2426,0.441,3.3924
"Ashley County, AR",5003,12.4954,21.409,28.1059,34.8133,17.3931,11.3917,5.499,1.2627,0.4694,6.0926
"Ashtabula County, OH",39007,14.881,137.7849,30.1257,35.8309,13.8998,10.314,4.4265,2.3343,0.4508,4.7408
"Asotin County, WA",53003,22.3029,35.5744,26.0335,42.4469,11.4972,11.8436,5.0838,1.5419,0.4332,5.4313
"Assumption Parish, LA",22007,9.3342,65.7191,35.0475,28.6194,21.9944,7.0188,3.6947,1.8879,0.4883,3.514
"Atascosa County, TX",48013,14.1184,41.5574,20.2825,29.9711,16.886,14.0674,9.3997,5.6822,0.4324,64.6297
"Atchison County, KS",20005,22.7648,37.312,29.3898,36.0847,14.3729,11.3898,3.4746,0.8983,0.4209,3.3503
"Atchison County, MO",29005,22.4227,9.3516,38.5938,32.1094,11.5234,10.7422,4.1797,1.6016,0.4395,1.3677
"Athens County, OH",39009,29.9401,132.213,31.0356,37.0822,13.6271,10.2536,5.2354,1.188,0.5025,2.098
"Atkinson County, GA",13003,13.9092,24.0168,27.0289,30.055,16.6094,12.9986,6.4993,3.5763,0.4735,25.0273
"Atlantic County, NJ",34001,28.8933,471.2439,28.1439,33.1623,15.1101,12.0969,6.6538,2.8055,0.4716,19.758
"Atoka County, OK",40005,15.212,14.1617,27.2915,36.5327,13.1104,13.5612,6.8182,1.1458,0.4692,3.5254
"Attala County, MS",28007,13.7764,24.5048,28.3398,30.3362,15.5659,11.9183,6.3344,3.1072,0.5098,2.9872
"Audrain County, MO",29007,16.1946,36.9725,27.1582,39.5156,11.4855,11.1195,4.6071,3.3154,0.4513,3.9228
"Audubon County, IA",19009,17.65,12.2245,35.3939,40.6709,9.3102,5.9555,4.0709,3.0531,0.4013,0.7572
"Auglaize County, OH",39011,19.6616,113.7478,25.0713,36.2446,15.5824,11.073,7.1285,2.6455,0.3962,2.1508
"Augusta County, VA",51015,22.9844,78.0499,25.8794,38.9695,13.7288,11.0138,6.4464,2.1065,0.41,3.1214
"Aurora County, SD",46003,23.3221,3.9268,31.9328,38.5714,10.9244,7.8992,6.4706,1.8487,0.4424,8.0158
"Austin County, TX",48015,25.1096,46.726,19.7728,35.1458,18.4314,13.9957,6.5194,4.6324,0.4146,27.5358
"Autauga County, AL",1001,28.3421,93.1375,24.8879,33.6384,18.1713,11.7367,7.1511,3.3329,0.4542,3.6648
"Avery County, NC",37011,20.7175,70.2278,28.7832,47.0671,10.6084,7.4727,3.9782,0.9672,0.4794,6.2694
"Avoyelles Parish, LA",22009,13.888,48.4751,30.3741,32.0798,17.0311,11.7097,4.7352,1.4489,0.5082,2.2637
"A??asco Municipio, PR",72011,19.6812,665.2936,25.6553,34.5748,16.9494,16.2377,4.9698,0.5693,0.4884,93.1895
"Baca County, CO",8009,22.538,1.3562,31.6618,36.6181,12.4198,9.3294,7.1137,1.0496,0.4562,11.6017
