Max AQI,90th Percentile AQI,Median AQI,% Good Days,% Unhealthy for Sensitive Groups Days,% Unhealthy Days,% Very Unhealthy Days,% Days CO,% Days NO2,% Days PM2.5,% Days PM10,County_State
84,45,35,0.9725274725274725,0.0,0.0,0.0,0.0,0.0,0.03296703296703297,0.0,"Newton, AR"
84,47,36,0.935933147632312,0.0,0.0,0.0,0.0,0.0,0.09192200557103064,0.0,"Polk, AR"
132,59,42,0.7513661202185792,0.00546448087431694,0.0,0.0,0.0,0.01639344262295082,0.5601092896174863,0.0,"Pulaski, AR"
89,52,34,0.8760330578512396,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Union, AR"
150,52,39,0.8770491803278688,0.00273224043715847,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,"Washington, AR"
218,79,43,0.644808743169399,0.02185792349726776,0.030054644808743168,0.00273224043715847,0.0,0.03551912568306011,0.5409836065573771,0.0,"Alameda, CA"
156,50,37,0.9108635097493036,0.005571030640668524,0.002785515320334262,0.0,0.0,0.0,0.0,0.0,"Amador, CA"
379,110,51,0.5,0.04918032786885246,0.04918032786885246,0.00546448087431694,0.0,0.0,0.44808743169398907,0.01912568306010929,"Butte, CA"
192,77,44,0.7142857142857143,0.027472527472527472,0.03571428571428571,0.0,0.0,0.0,0.33516483516483514,0.013736263736263736,"Calaveras, CA"
198,86,38,0.674863387978142,0.02459016393442623,0.06284153005464481,0.0,0.0,0.0,0.39344262295081966,0.08743169398907104,"Colusa, CA"
197,72,41,0.7049180327868853,0.01912568306010929,0.030054644808743168,0.0,0.0,0.01366120218579235,0.4726775956284153,0.0,"Contra Costa, CA"
220,55,32,0.8493150684931506,0.0136986301369863,0.0136986301369863,0.003424657534246575,0.0,0.0,1.0,0.0,"Del Norte, CA"
190,90,43,0.7049180327868853,0.04644808743169399,0.01639344262295082,0.0,0.0,0.0,0.02185792349726776,0.01912568306010929,"El Dorado, CA"
298,153,74,0.2568306010928962,0.16120218579234974,0.09289617486338798,0.01639344262295082,0.0,0.00819672131147541,0.4918032786885246,0.040983606557377046,"Fresno, CA"
197,82,43,0.6895604395604396,0.019230769230769232,0.06043956043956044,0.0,0.0,0.0,0.39285714285714285,0.04945054945054945,"Glenn, CA"
109,44,29,0.9098360655737705,0.00819672131147541,0.0,0.0,0.0,0.0,0.18579234972677597,0.16939890710382513,"Humboldt, CA"
166,97,58,0.3251366120218579,0.07103825136612021,0.00546448087431694,0.0,0.0,0.00546448087431694,0.1994535519125683,0.3005464480874317,"Imperial, CA"
684,130,52,0.46994535519125685,0.06284153005464481,0.05191256830601093,0.01366120218579235,0.0,0.0,0.31693989071038253,0.060109289617486336,"Inyo, CA"
267,145,81,0.21311475409836064,0.2677595628415301,0.08196721311475409,0.00546448087431694,0.0,0.0,0.3907103825136612,0.04644808743169399,"Kern, CA"
543,124,67,0.2677595628415301,0.14754098360655737,0.040983606557377046,0.0,0.0,0.0,0.44808743169398907,0.14754098360655737,"Kings, CA"
180,43,32,0.9715099715099715,0.002849002849002849,0.008547008547008548,0.0,0.0,0.0,0.037037037037037035,0.005698005698005698,"Lake, CA"
235,165,83,0.16393442622950818,0.2103825136612022,0.12021857923497267,0.04371584699453552,0.0,0.06284153005464481,0.3551912568306011,0.01366120218579235,"Los Angeles, CA"
250,113,61,0.3743169398907104,0.09289617486338798,0.04644808743169399,0.00546448087431694,0.0,0.0,0.40710382513661203,0.06830601092896176,"Madera, CA"
206,57,33,0.8469945355191257,0.01092896174863388,0.01092896174863388,0.00273224043715847,0.0,0.04371584699453552,0.3907103825136612,0.0,"Marin, CA"
618,111,47,0.5683060109289617,0.07377049180327869,0.03278688524590164,0.01092896174863388,0.0,0.0,0.16666666666666666,0.0273224043715847,"Mariposa, CA"
456,76,34,0.7650273224043715,0.0273224043715847,0.0273224043715847,0.00273224043715847,0.0,0.0,0.4972677595628415,0.01366120218579235,"Mendocino, CA"
183,95,53,0.4672131147540984,0.04644808743169399,0.040983606557377046,0.0,0.0,0.0,0.4726775956284153,0.00273224043715847,"Merced, CA"
1928,199,40,0.5765027322404371,0.03551912568306011,0.04644808743169399,0.0273224043715847,0.0,0.0,0.8306010928961749,0.16939890710382513,"Mono, CA"
250,63,36,0.8169398907103825,0.01092896174863388,0.02459016393442623,0.00546448087431694,0.0,0.0,0.2896174863387978,0.10109289617486339,"Monterey, CA"
199,62,36,0.8164383561643835,0.019178082191780823,0.021917808219178082,0.0,0.00821917808219178,0.0,0.3698630136986301,0.0,"Napa, CA"
252,90,41,0.73224043715847,0.040983606557377046,0.03551912568306011,0.01092896174863388,0.0,0.0,0.3524590163934426,0.0,"Nevada, CA"
218,108,51,0.48633879781420764,0.07650273224043716,0.030054644808743168,0.00546448087431694,0.0,0.030054644808743168,0.366120218579235,0.00819672131147541,"Orange, CA"
222,108,54,0.4562841530054645,0.0546448087431694,0.04918032786885246,0.00819672131147541,0.0,0.0,0.3524590163934426,0.02185792349726776,"Placer, CA"
469,146,49,0.5083333333333333,0.044444444444444446,0.05555555555555555,0.027777777777777776,0.0,0.0,1.0,0.0,"Plumas, CA"
576,159,87,0.13934426229508196,0.2677595628415301,0.09836065573770492,0.02459016393442623,0.0,0.0,0.28415300546448086,0.10655737704918032,"Riverside, CA"
200,100,52,0.4808743169398907,0.04644808743169399,0.05191256830601093,0.0,0.0,0.00546448087431694,0.4426229508196721,0.02459016393442623,"Sacramento, CA"
168,67,39,0.8224043715846995,0.02185792349726776,0.02459016393442623,0.0,0.0,0.0,0.14754098360655737,0.0273224043715847,"San Benito, CA"
236,185,93,0.1366120218579235,0.20765027322404372,0.1885245901639344,0.04918032786885246,0.0,0.04644808743169399,0.2896174863387978,0.040983606557377046,"San Bernardino, CA"
192,108,71,0.16393442622950818,0.09562841530054644,0.03825136612021858,0.0,0.0,0.00546448087431694,0.6639344262295082,0.00819672131147541,"San Diego, CA"
198,62,36,0.7568306010928961,0.00819672131147541,0.01366120218579235,0.0,0.0,0.040983606557377046,0.5245901639344263,0.0,"San Francisco, CA"
195,96,48,0.5382513661202186,0.04371584699453552,0.040983606557377046,0.0,0.0,0.0,0.46174863387978143,0.0546448087431694,"San Joaquin, CA"
292,90,48,0.5765027322404371,0.05737704918032787,0.02185792349726776,0.00546448087431694,0.0,0.0,0.26229508196721313,0.0546448087431694,"San Luis Obispo, CA"
186,60,35,0.8387978142076503,0.01366120218579235,0.01366120218579235,0.0,0.0,0.05737704918032787,0.40710382513661203,0.0,"San Mateo, CA"
168,66,42,0.7459016393442623,0.02459016393442623,0.01092896174863388,0.0,0.0,0.0,0.3087431693989071,0.01639344262295082,"Santa Barbara, CA"
186,79,44,0.6475409836065574,0.030054644808743168,0.02459016393442623,0.0,0.0,0.02185792349726776,0.5109289617486339,0.0,"Santa Clara, CA"
426,64,34,0.8306010928961749,0.01639344262295082,0.0273224043715847,0.00546448087431694,0.0,0.0,0.4344262295081967,0.0,"Santa Cruz, CA"
166,64,41,0.8060109289617486,0.01639344262295082,0.00546448087431694,0.0,0.0,0.0,0.08196721311475409,0.0,"Shasta, CA"
359,61,36,0.8333333333333334,0.0273224043715847,0.0273224043715847,0.00546448087431694,0.0,0.0,0.32786885245901637,0.0,"Siskiyou, CA"
204,76,41,0.7021857923497268,0.02459016393442623,0.01639344262295082,0.00273224043715847,0.0,0.0,0.47540983606557374,0.00273224043715847,"Solano, CA"
187,53,33,0.8715846994535519,0.00273224043715847,0.01639344262295082,0.0,0.0,0.00273224043715847,0.3797814207650273,0.030054644808743168,"Sonoma, CA"
189,102,55,0.4262295081967213,0.05737704918032787,0.04371584699453552,0.0,0.0,0.00273224043715847,0.4098360655737705,0.0546448087431694,"Stanislaus, CA"
303,89,48,0.5683060109289617,0.040983606557377046,0.03825136612021858,0.00273224043715847,0.0,0.0,0.4890710382513661,0.01092896174863388,"Sutter, CA"
196,93,43,0.680327868852459,0.03278688524590164,0.05737704918032787,0.0,0.0,0.0,0.3333333333333333,0.0,"Tehama, CA"
193,79,27,0.7463556851311953,0.03498542274052478,0.04664723032069971,0.0,0.0,0.0,1.0,0.0,"Trinity, CA"
209,145,79,0.21584699453551912,0.2814207650273224,0.08196721311475409,0.00546448087431694,0.0,0.0,0.453551912568306,0.03825136612021858,"Tulare, CA"
143,64,41,0.7847025495750708,0.014164305949008499,0.0,0.0,0.0,0.0,0.0,0.0,"Tuolumne, CA"
174,90,47,0.6147540983606558,0.05737704918032787,0.01366120218579235,0.0,0.0,0.0,0.15846994535519127,0.02459016393442623,"Ventura, CA"
192,84,42,0.6967213114754098,0.03825136612021858,0.03825136612021858,0.0,0.0,0.00273224043715847,0.42896174863387976,0.0,"Yolo, CA"
151,72,47,0.6065573770491803,0.030054644808743168,0.00273224043715847,0.0,0.0,0.18579234972677597,0.16120218579234974,0.16393442622950818,"Adams, CO"
60,30,10,0.9747899159663865,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Alamosa, CO"
159,76,45,0.6775956284153005,0.02459016393442623,0.00546448087431694,0.0,0.0,0.0,0.0273224043715847,0.0,"Arapahoe, CO"
93,58,43,0.8273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.12602739726027398,"Archuleta, CO"
173,84,47,0.592896174863388,0.05191256830601093,0.00546448087431694,0.0,0.0,0.0,0.31693989071038253,0.00273224043715847,"Boulder, CO"
143,71,47,0.7052631578947368,0.031578947368421054,0.0,0.0,0.0,0.0,0.0,0.0,"Clear Creek, CO"
97,51,41,0.8986301369863013,0.0,0.0,0.0,0.0,0.0,0.09315068493150686,0.0,"Delta, CO"
150,80,50,0.505464480874317,0.04644808743169399,0.0,0.0,0.0,0.29508196721311475,0.3087431693989071,0.00819672131147541,"Denver, CO"
159,80,46,0.6565096952908587,0.038781163434903045,0.008310249307479225,0.0,0.0,0.0,0.14681440443213298,0.0,"Douglas, CO"
151,74,45,0.6967213114754098,0.01639344262295082,0.00273224043715847,0.0,0.0,0.0,0.07103825136612021,0.0,"El Paso, CO"
27,20,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Fremont, CO"
122,74,46,0.6967213114754098,0.01366120218579235,0.0,0.0,0.0,0.0,0.04644808743169399,0.0,"Garfield, CO"
136,67,45,0.7787114845938375,0.025210084033613446,0.0,0.0,0.0,0.0,0.0,0.0,"Gilpin, CO"
108,54,44,0.8348348348348348,0.006006006006006006,0.0,0.0,0.0,0.0,0.0,0.0,"Gunnison, CO"
84,31,5,0.9506172839506173,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Jackson, CO"
161,90,46,0.6311475409836066,0.06284153005464481,0.01092896174863388,0.0,0.0,0.0,0.0,0.0,"Jefferson, CO"
101,61,44,0.7841530054644809,0.00273224043715847,0.0,0.0,0.0,0.0,0.00546448087431694,0.0,"La Plata, CO"
157,87,48,0.6065573770491803,0.04644808743169399,0.00546448087431694,0.0,0.0,0.0,0.1366120218579235,0.0,"Larimer, CO"
108,58,44,0.825136612021858,0.00819672131147541,0.0,0.0,0.0,0.0,0.18032786885245902,0.00273224043715847,"Mesa, CO"
126,58,44,0.8224043715846995,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,"Montezuma, CO"
68,33,11,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.31666666666666665,0.6833333333333333,"Pitkin, CO"
238,42,17,0.9342857142857143,0.002857142857142857,0.005714285714285714,0.002857142857142857,0.0,0.0,0.0,1.0,"Prowers, CO"
63,45,19,0.9479166666666666,0.0,0.0,0.0,0.0,0.0,0.5104166666666666,0.4895833333333333,"Pueblo, CO"
115,54,42,0.852054794520548,0.00821917808219178,0.0,0.0,0.0,0.0027397260273972603,0.1178082191780822,0.0,"Rio Blanco, CO"
68,29,14,0.9860335195530726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Routt, CO"
69,23,7,0.9831932773109243,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"San Juan, CO"
54,26,12,0.9743589743589743,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"San Miguel, CO"
140,82,48,0.5983606557377049,0.03551912568306011,0.0,0.0,0.0,0.01912568306010929,0.34153005464480873,0.0,"Weld, CO"
161,80,44,0.6994535519125683,0.03278688524590164,0.00273224043715847,0.0,0.0,0.03825136612021858,0.43989071038251365,0.0,"Fairfield, CT"
98,55,39,0.8469945355191257,0.0,0.0,0.0,0.00273224043715847,0.060109289617486336,0.33879781420765026,0.0,"Hartford, CT"
84,50,38,0.9033149171270718,0.0,0.0,0.0,0.0055248618784530384,0.0,0.16298342541436464,0.0,"Litchfield, CT"
129,54,39,0.875,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,"Middlesex, CT"
174,77,42,0.726775956284153,0.030054644808743168,0.00546448087431694,0.0,0.00273224043715847,0.040983606557377046,0.36885245901639346,0.01092896174863388,"New Haven, CT"
172,58,37,0.8493150684931506,0.00821917808219178,0.0027397260273972603,0.0,0.0,0.0,0.4876712328767123,0.0027397260273972603,"New London, CT"
